Date	Depth	NH4	Nitrit	Nitrate	Norg_par	Norg_dis	Ntot	Oxygen
06-Jun-10	1	0.006	0.012	0.038	0.18	0.174	0.41	9.3
06-Jun-10	3	0.008	0.013	0.039	0.14	0.18	0.38	9.5
06-Jun-10	5	0.008	0.014	0.043	0.22	0.155	0.44	9.2
06-Jun-10	10	0.009	0.017	0.053	0.2	0.141	0.42	8.4
06-Jun-10	15	0.026	0.022	0.068	0.17	0.164	0.45	7.7
06-Jun-10	16	0.049	0.04	0.075	0.17	0.156	0.49	3.7
06-Jun-10	17	0.07	0.042	0.059	0.09	0.169	0.43	2.4
06-Jun-10	20	0.098	0.023	0.036	0.17	0.123	0.45	2.4
06-Jun-10	25	0.207	0.002	0.006	0.01	0.175	0.4	0.1
06-Jun-10	30	0.393	0.002	-	0	0.185	0.58	0.1
06-Jun-10	35	0.494	0.002	-	0.03	0.184	0.71	0.1
13-Jun-10	1	0.023	0.013	0.022	0.06	0.222	0.34	9.4
13-Jun-10	3	0.017	0.014	0.019	0.04	0.21	0.3	9.4
13-Jun-10	5	0.009	0.013	0.016	0.1	0.172	0.31	9.5
13-Jun-10	10	0.014	0.014	0.022	0.07	0.21	0.33	9.2
13-Jun-10	13	0.021	0.016	0.033	0.01	0.22	0.3	8.5
13-Jun-10	14	0.016	0.017	0.038	0.07	0.169	0.31	8.3
13-Jun-10	15	0.067	0.025	0.043	0.07	0.195	0.4	5.1
13-Jun-10	16	0.098	0.016	0.03	0.06	0.166	0.37	3.5
13-Jun-10	20	0.197	0.002	0.01	0.01	0.161	0.38	0.5
13-Jun-10	25	0.229	0.002	0.006	0	0.123	0.36	-
13-Jun-10	30	0.407	0.002	-	0	0.121	0.53	-
13-Jun-10	35	0.608	0.002	-	0.03	0.17	0.81	-
20-Jun-10	1	0.008	0.005	0.01	0.11	0.147	0.28	9.9
20-Jun-10	3	0.01	0.005	0.008	0.14	0.157	0.32	8.7
20-Jun-10	5	0.008	0.005	0.008	0.04	0.199	0.26	8.9
20-Jun-10	10	0.008	0.005	0.012	0.06	0.175	0.26	8.6
20-Jun-10	13	0.016	0.005	0.012	0.15	0.137	0.32	8
20-Jun-10	14	0.021	0.008	0.013	0.11	0.188	0.34	6.5
20-Jun-10	15	0.052	0.008	0.019	0.06	0.181	0.32	5.3
20-Jun-10	20	0.234	0.002	0.01	0.03	0.124	0.4	0.3
20-Jun-10	25	0.392	0.002	-	0.07	0.166	0.63	0.1
20-Jun-10	30	0.563	0.002	-	0.155	0	0.72	0.1
20-Jun-10	35	0.588	0.002	-	0.1	0.09	0.78	0.1
27-Jun-10	1	0.035	0.003	0.011	0.09	0.171	0.31	6.8
27-Jun-10	3	0.036	0.003	0.011	0.1	0.18	0.33	7.1
27-Jun-10	5	0.038	0.003	0.012	0.07	0.187	0.31	7.5
27-Jun-10	10	0.031	0.003	0.012	0.09	0.194	0.33	6.7
27-Jun-10	15	0.041	0.003	0.012	0.09	0.194	0.34	6.5
27-Jun-10	16	0.153	0.003	0.013	0.08	0.191	0.44	1.2
27-Jun-10	17	0.138	0.002	0.009	0.06	0.191	0.4	2.8
27-Jun-10	18	0.226	0.002	0.009	0.09	0.203	0.53	0.1
27-Jun-10	20	0.254	0.002	0.009	0.03	0.195	0.49	0.1
27-Jun-10	25	0.321	0.002	-	0.01	0.177	0.51	0.1
27-Jun-10	30	0.522	0.002	-	0.06	0.246	0.83	0.1
27-Jun-10	35	0.565	0.002	-	0.01	0.253	0.83	0.1
04-Jul-10	1	0.027	0.003	0.014	0.03	0.196	0.27	8.1
04-Jul-10	3	0.021	0.003	0.013	0.06	0.183	0.28	7.4
04-Jul-10	5	0.026	0.002	0.014	0.07	0.188	0.3	7.7
04-Jul-10	10	0.041	0.002	0.022	0.04	0.175	0.28	6.8
04-Jul-10	15	0.078	0.003	0.022	0.08	0.177	0.36	4.9
04-Jul-10	16	0.11	0.003	0.018	0.06	0.189	0.38	4
04-Jul-10	17	0.17	0.002	0.005	0.08	0.193	0.45	0.5
04-Jul-10	18	0.16	0.002	0.01	0.06	0.228	0.46	1
04-Jul-10	20	0.26	0.002	-	0	0.228	0.49	0.1
04-Jul-10	25	0.43	0.002	-	0.02	0.178	0.63	0.1
04-Jul-10	30	0.576	0.002	-	0.03	0.232	0.84	0.1
04-Jul-10	35	0.69	0.002	-	0.03	0.258	0.98	0.1
11-Jul-10	1	0.02	0.002	0.009	0.03	0.169	0.23	9
11-Jul-10	3	0.009	0.002	-	0.07	0.179	0.26	8.9
11-Jul-10	5	0.008	0.002	-	0.06	0.19	0.26	8.7
11-Jul-10	10	0.005	0.002	-	0.16	0.163	0.33	8.6
11-Jul-10	15	0.027	0.002	0.006	0.05	0.165	0.25	4.8
11-Jul-10	16	0.092	0.002	0.005	0.09	0.171	0.36	1.4
11-Jul-10	17	0.217	0.002	0.007	0.02	0.204	0.45	0.1
11-Jul-10	18	0.252	0.002	0.007	0.06	0.229	0.55	0.1
11-Jul-10	20	0.345	0.002	-	0.04	0.173	0.56	0.1
11-Jul-10	25	0.35	0.002	-	0.07	0.148	0.57	0.1
11-Jul-10	30	0.722	0.002	-	0.05	0.136	0.91	0.1
11-Jul-10	35	0.846	0.002	-	0.03	0.152	1.03	0.1
18-Jul-10	1	0.011	0.002	0.026	0.02	0.141	0.2	7.3
18-Jul-10	3	0.011	0.002	0.011	0.02	0.166	0.21	7.3
18-Jul-10	5	0.008	0.002	0.01	0.04	0.16	0.22	7
18-Jul-10	10	0.007	0.002	0.011	0.04	0.19	0.25	7.3
18-Jul-10	15	0.023	0.002	0.012	0.06	0.123	0.22	6
18-Jul-10	18	0.15	0.002	0.021	0.02	0.157	0.35	1.8
18-Jul-10	19	0.423	0.002	-	0.05	0.175	0.65	0.1
18-Jul-10	20	0.277	0.002	-	0	0.191	0.47	0.1
18-Jul-10	25	0.536	0.002	-	0.02	0.212	0.77	0.1
18-Jul-10	30	0.67	0.002	-	0.04	0.168	0.88	0.1
18-Jul-10	35	0.826	0.002	-	0.04	0.202	1.07	0.1
25-Jul-10	1	0.012	0.002	-	0.04	0.186	0.24	7.2
25-Jul-10	3	0.021	0.002	0.006	0.15	0.161	0.34	6.9
25-Jul-10	5	0.017	0.002	0.006	0.07	0.135	0.23	6.7
25-Jul-10	10	0.014	0.002	0.009	0	0.195	0.22	6.6
25-Jul-10	15	0.02	0.002	0.008	0.04	0.15	0.22	6.4
25-Jul-10	16	0.06	0.002	0.009	0.05	0.129	0.25	5
25-Jul-10	17	0.073	0.002	0.009	0.07	0.096	0.25	4
25-Jul-10	18	0.234	0.002	0.007	0.09	0.147	0.48	0.1
25-Jul-10	20	0.283	0.002	0.007	0.07	0.128	0.49	0.1
25-Jul-10	25	0.569	0.002	-	0	0.149	0.72	0.1
25-Jul-10	30	0.605	0.002	-	0.05	0.123	0.78	0.1
25-Jul-10	35	0.882	0.002	-	0	0.146	1.03	0.1
01-Aug-10	1	0.008	0.002	0.007	0.16	0.123	0.3	8.1
01-Aug-10	3	0.01	0.002	0.012	0.12	0.116	0.26	8.2
01-Aug-10	5	0.006	0.002	0.005	0.16	0.097	0.27	7.8
01-Aug-10	10	0.006	0.002	0.007	0.15	0.095	0.26	6.7
01-Aug-10	15	0.022	0.002	0.015	0.09	0.121	0.25	5.7
01-Aug-10	17	0.061	0.002	0.01	0.1	0.127	0.3	4
01-Aug-10	18	0.142	0.002	0.009	0.1	0.127	0.38	0.7
01-Aug-10	19	0.225	0.002	0.006	0.13	0.127	0.49	0.1
01-Aug-10	20	0.281	0.002	0.005	0.11	0.112	0.51	0.1
01-Aug-10	25	0.539	0.002	-	0.1	0.089	0.73	0.1
01-Aug-10	30	0.859	0.002	-	0.09	0.209	1.16	0.1
01-Aug-10	35	0.922	0.002	-	0.11	0.176	1.21	0.1
08-Aug-10	1	0.081	0.002	0.004	0	0.163	0.25	8.3
08-Aug-10	3	0.01	0.002	-	0.04	0.158	0.21	8.2
08-Aug-10	5	0.012	0.002	-	0.07	0.136	0.22	8.3
08-Aug-10	10	0.012	0.002	0.005	0.04	0.151	0.21	8.3
08-Aug-10	15	0.019	0.002	0.005	0.07	0.124	0.22	5.3
08-Aug-10	17	0.046	0.002	0.005	0.04	0.147	0.24	3.3
08-Aug-10	18	0.077	0.002	0.005	0.06	0.116	0.26	2
08-Aug-10	19	0.255	0.002	-	0.04	0.123	0.42	0.1
08-Aug-10	20	0.229	0.002	-	0.17	0.079	0.48	0.1
08-Aug-10	25	0.644	0.002	-	0.06	0.144	0.85	0.1
08-Aug-10	30	0.916	0.002	-	0	0.172	1.09	0.1
08-Aug-10	35	1.04	0.002	-	0.18	0.128	1.35	0.1
15-Aug-10	1	0.014	0.002	0.025	0	0.119	0.16	8
15-Aug-10	3	0.01	0.002	0.008	0.04	0.13	0.19	8
15-Aug-10	5	0.007	0.002	0.007	0.07	0.084	0.17	7.7
15-Aug-10	10	0.008	0.002	0.009	0.09	0.081	0.19	7.6
15-Aug-10	15	0.005	0.002	0.007	0.06	0.086	0.16	6.9
15-Aug-10	16	0.005	0.002	0.009	0.07	0.084	0.17	4.2
15-Aug-10	17	0.034	0.002	0.006	0.16	0.058	0.26	2.2
15-Aug-10	18	0.154	0.002	0.008	0.24	0.056	0.46	0.5
15-Aug-10	20	0.447	0.002	0.006	0.19	0.025	0.67	0.1
15-Aug-10	25	0.701	0.002	-	0.167	0	0.87	0.1
15-Aug-10	30	1	0.002	-	0.128	0	1.13	0.1
15-Aug-10	35	1.19	0.002	-	0.208	0	1.4	0.1
22-Aug-10	1	0.022	0.002	-	0	0.246	0.27	7.7
22-Aug-10	3	0.013	0.002	-	0.02	0.235	0.27	7
22-Aug-10	5	0.019	0.002	-	0	0.219	0.24	7.6
22-Aug-10	10	0.024	0.002	-	0.03	0.224	0.28	6.3
22-Aug-10	15	0.023	0.002	-	0.06	0.205	0.29	-
22-Aug-10	16	0.026	0.002	-	0	0.212	0.24	1.2
22-Aug-10	17	0.096	0.002	-	0.1	0.202	0.4	0.5
22-Aug-10	18	0.054	0.002	-	0.05	0.244	0.35	0.3
22-Aug-10	20	0.398	0.002	-	0.04	0.19	0.63	0.1
22-Aug-10	25	0.644	0.002	-	0	0.164	0.81	0.1
22-Aug-10	30	0.737	0.002	-	0.13	0.151	1.02	0.1
22-Aug-10	35	1.24	0.002	-	0.08	0.168	1.49	0.1
29-Aug-10	1	0.014	0.002	0.018	0.11	0.136	0.28	6.9
29-Aug-10	3	0.008	0.002	0.016	0.1	0.144	0.27	6.7
29-Aug-10	5	0.009	0.002	0.017	0.11	0.132	0.27	6.6
29-Aug-10	10	0.005	0.002	0.014	0.13	0.179	0.33	6.6
29-Aug-10	15	0.005	0.002	0.014	0.14	0.169	0.33	4.8
29-Aug-10	16	0.035	0.002	0.012	0.1	0.231	0.38	0.7
29-Aug-10	17	0.032	0.002	0.014	0.11	0.182	0.34	0.2
29-Aug-10	20	0.118	0.002	-	0.13	0.43	0.68	0.1
29-Aug-10	25	0.2	0.002	-	0.07	0.698	0.97	0.1
29-Aug-10	30	0.379	0.002	-	0.28	0.899	1.56	0.1
29-Aug-10	35	0.518	0.002	-	0.11	0.93	1.56	0.1
05-Sep-10	1	0.015	0.002	0.008	0	0.245	0.27	7.2
05-Sep-10	3	0.012	0.002	0.01	0.04	0.256	0.32	7
05-Sep-10	5	0.011	0.002	0.008	0.04	0.189	0.25	7.1
05-Sep-10	10	0.019	0.002	0.009	0.02	0.18	0.23	6.7
05-Sep-10	15	0.105	0.002	0.009	0.14	0.194	0.45	0.1
05-Sep-10	16	0.041	0.002	0.009	0.09	0.218	0.36	2.9
05-Sep-10	17	0.127	0.002	0.012	0.08	0.239	0.46	0.2
05-Sep-10	20	0.346	0.002	-	0.1	0.272	0.72	0.1
05-Sep-10	25	0.838	0.002	-	0	0.22	1.06	0.1
05-Sep-10	30	1.06	0.002	-	0.29	0.288	1.64	0.1
05-Sep-10	35	1.37	0.002	-	0.17	0.258	1.8	0.1
12-Sep-10	1	0.004	0.002	-	0.09	0.164	0.26	6.7
12-Sep-10	3	0.012	0.002	0.007	0.07	0.269	0.36	6.8
12-Sep-10	5	0.006	0.002	-	0.01	0.202	0.22	6.8
12-Sep-10	10	0.007	0.002	-	0.08	0.171	0.26	6.7
12-Sep-10	14	0.011	0.002	-	0.05	0.147	0.21	6.4
12-Sep-10	15	0.024	0.002	-	0.02	0.184	0.23	3.3
12-Sep-10	16	0.06	0.002	-	0.09	0.158	0.31	2.6
12-Sep-10	20	0.36	0.002	-	0.23	0.228	0.82	0.1
12-Sep-10	25	0.651	0.002	-	0.01	0.297	0.96	0.1
12-Sep-10	30	0.942	0.002	-	0.04	0.376	1.36	0.1
12-Sep-10	35	1.44	0.002	-	0.19	0.248	1.88	0.1
19-Sep-10	1	0.15	0.002	0.006	0	0.182	0.34	6.9
19-Sep-10	3	0.016	0.002	0.004	0.07	0.218	0.31	6.9
19-Sep-10	5	0.027	0.002	0.004	0.11	0.207	0.35	6.9
19-Sep-10	10	0.04	0.002	0.005	0.11	0.163	0.32	-
19-Sep-10	15	0.032	0.002	0.004	0.12	0.172	0.33	6.7
19-Sep-10	16	0.054	0.002	0.005	0.14	0.189	0.39	3.3
19-Sep-10	17	0.093	0.002	0.005	0.07	0.25	0.42	3.3
19-Sep-10	20	0.49	0.002	-	0.14	0.218	0.85	0.1
19-Sep-10	25	0.83	0.002	-	0.04	0.188	1.06	0.1
19-Sep-10	30	1.16	0.002	-	0.03	0.188	1.38	0.1
19-Sep-10	35	1.43	0.0124	-	0.05	0.0376	1.53	0.1
03-Oct-10	1	0.078	0.002	0.013	0	0.237	0.33	6.9
03-Oct-10	3	0.013	0.002	0.012	0.02	0.203	0.25	8.2
03-Oct-10	5	0.009	0.002	0.013	0.08	0.206	0.31	8.2
03-Oct-10	10	0.011	0.002	0.014	0.06	0.203	0.29	7.4
03-Oct-10	15	0.067	0.002	0.032	0.25	0.219	0.57	4.1
03-Oct-10	17	0.112	0.002	0.029	0.06	0.217	0.42	2.7
03-Oct-10	18	0.159	0.002	0.013	0.1	0.176	0.45	0.2
03-Oct-10	19	0.186	0.002	0.014	0.08	0.258	0.54	0.8
03-Oct-10	20	0.192	0.002	0.013	0.14	0.243	0.59	0.1
03-Oct-10	25	0.771	0.002	-	0.09	0.247	1.11	0.1
03-Oct-10	30	1.14	0.002	-	0.08	0.228	1.45	0.1
03-Oct-10	35	1.52	0.002	-	0.19	0.218	1.93	0.1
10-Oct-10	1	0.014	0.002	0.013	0.1	0.141	0.27	7.1
10-Oct-10	3	0.012	0.002	0.012	0.09	0.134	0.25	7.3
10-Oct-10	5	0.012	0.002	0.012	0.05	0.164	0.24	7.1
10-Oct-10	10	0.011	0.002	0.01	0.09	0.127	0.24	6.6
10-Oct-10	15	0.012	0.002	0.011	0.47	0.125	0.62	6.9
10-Oct-10	18	0.035	0.002	0.011	0.06	0.162	0.27	3.8
10-Oct-10	19	0.131	0.002	0.005	0.13	0.162	0.43	1.4
10-Oct-10	20	0.392	0.002	-	0.1	0.216	0.71	0.1
10-Oct-10	25	0.822	0.002	-	0.15	0.116	1.09	0.1
10-Oct-10	30	1.23	0.002	-	0.07	0.138	1.44	0.1
10-Oct-10	35	1.81	0.002	-	0.18	0.068	2.06	0.1
17-Oct-10	1	0.144	0.002	0.012	0	0.242	0.4	8.1
17-Oct-10	3	0.02	0.002	0.004	0.04	0.264	0.33	8
17-Oct-10	5	0.013	0.002	0.009	0.09	0.216	0.33	8
17-Oct-10	10	0.015	0.002	0.004	0.02	0.239	0.28	7.7
17-Oct-10	15	0.046	0.002	0.019	0	0.243	0.31	6.3
17-Oct-10	19	0.16	0.002	0.031	0	0.247	0.44	1.9
17-Oct-10	20	0.26	0.002	0.022	0.03	0.276	0.59	0.1
17-Oct-10	21	0.48	0.002	-	0.13	0.258	0.87	0.1
17-Oct-10	25	0.9	0.002	-	0	0.248	1.15	0.1
17-Oct-10	30	1.29	0.002	-	0	0.278	1.57	0.1
17-Oct-10	35	1.67	0.002	-	0.15	0.248	2.07	0.1
24-Oct-10	1	0.019	0.002	0.021	0.08	0.158	0.28	5.9
24-Oct-10	3	0.018	0.002	0.021	0.15	0.129	0.32	6.5
24-Oct-10	5	0.017	0.002	0.019	0.12	0.112	0.27	6.5
24-Oct-10	10	0.023	0.002	0.021	0.24	0.104	0.39	6.3
24-Oct-10	15	0.021	0.002	0.02	0.1	0.097	0.24	6.3
24-Oct-10	19	0.024	0.002	0.022	0.11	0.162	0.32	6.3
24-Oct-10	20	0.098	0.002	0.016	0.37	0.104	0.59	1.7
24-Oct-10	21	0.383	0.002	-	0.11	0.225	0.72	0.1
24-Oct-10	25	0.769	0.004	-	0.41	0.197	1.38	0.1
24-Oct-10	30	1.35	0.002	-	0.33	0.138	1.82	0.1
24-Oct-10	35	1.97	0.002	-	0.21	0.308	2.49	0.1
31-Oct-10	1	0.046	0.002	0.012	0	0.17	0.23	6.2
31-Oct-10	3	0.028	0.002	0.013	0.02	0.147	0.21	6.4
31-Oct-10	5	0.028	0.002	0.013	0.06	0.187	0.29	6.9
31-Oct-10	10	0.032	0.002	0.013	0.06	0.163	0.27	6.8
31-Oct-10	15	0.033	0.002	0.012	0.04	0.143	0.23	6.9
31-Oct-10	18	0.047	0.002	0.012	0.08	0.109	0.25	6.2
31-Oct-10	19	0.15	0.002	0.011	0	0.167	0.33	4.2
31-Oct-10	20	0.612	0.002	-	0.04	0.206	0.86	2.4
