Date	Depth	NH4	Nitrit	Nitrate	Norg_par	Norg_dis	Ntot	Oxygen
02-Jan-11	1	0.221	0.004	0.068	0.15	0.157	0.6	5.5
02-Jan-11	3	0.224	0.005	0.07	0.14	0.151	0.59	5.6
02-Jan-11	5	0.222	0.004	0.067	0.13	0.147	0.57	7
02-Jan-11	10	0.226	0.005	0.073	0.17	0.126	0.6	6.7
02-Jan-11	15	0.226	0.005	0.065	0.16	0.134	0.59	5.9
02-Jan-11	20	0.248	0.004	0.073	0.09	0.165	0.58	6.3
02-Jan-11	25	0.214	0.004	0.062	0.11	0.16	0.55	6.8
02-Jan-11	30	0.22	0.005	0.071	0.11	0.144	0.55	6.8
02-Jan-11	34	0.228	0.005	0.074	0.14	0.143	0.59	6.1
02-Jan-11	35	1.43	0.002	-	0	0.068	1.5	0.7
09-Jan-11	1	0.294	0.004	0.065	0.06	0.267	0.69	5.1
09-Jan-11	3	0.306	0.004	0.062	0	0.218	0.59	5.5
09-Jan-11	5	0.306	0.006	0.06	0.07	0.188	0.63	5.2
09-Jan-11	10	0.31	0.004	0.065	0.05	0.201	0.63	5.5
09-Jan-11	15	0.316	0.004	0.06	0.06	0.21	0.65	5.4
09-Jan-11	20	0.314	0.005	0.064	0	0.227	0.61	5.4
09-Jan-11	25	0.32	0.005	0.064	0.01	0.221	0.62	5.3
09-Jan-11	30	0.33	0.004	0.063	0.15	0.163	0.71	5.4
09-Jan-11	35	0.355	0.004	0.063	0.08	0.228	0.73	3.6
16-Jan-11	1	0.217	0.005	0.091	0.12	0.197	0.63	5.1
16-Jan-11	3	0.216	0.005	0.09	0.18	0.189	0.68	5.4
16-Jan-11	5	0.215	0.005	0.089	0.1	0.241	0.65	-
16-Jan-11	10	0.215	0.006	0.089	0.1	0.24	0.65	6.6
16-Jan-11	15	0.219	0.006	0.089	0.13	0.216	0.66	6.7
16-Jan-11	20	0.217	0.006	0.092	0.13	0.225	0.67	4.5
16-Jan-11	25	0.21	0.005	0.089	0.13	0.226	0.66	6.8
16-Jan-11	30	0.242	0.005	0.09	0.05	0.243	0.63	3.7
16-Jan-11	35	0.262	0.005	0.083	0.09	0.27	0.71	2.7
23-Jan-11	1	0.253	0.005	0.092	0.01	0.16	0.52	8
23-Jan-11	3	0.244	0.005	0.091	0.03	0.15	0.52	8.1
23-Jan-11	5	0.252	0.005	0.091	0.02	0.122	0.49	7.9
23-Jan-11	10	0.247	0.005	0.095	0	0.163	0.51	7.9
23-Jan-11	15	0.255	0.005	0.091	0	0.159	0.51	7.9
23-Jan-11	20	0.251	0.005	0.09	0	0.184	0.53	7.9
23-Jan-11	25	0.261	0.005	0.094	0.1	0.15	0.61	8
23-Jan-11	30	0.358	0.005	0.09	0.01	0.067	0.53	8
23-Jan-11	35	0.251	0.005	0.098	0	0.186	0.54	8.1
30-Jan-11	1	0.222	0.006	0.097	0.07	0.335	0.73	8.8
30-Jan-11	3	0.217	0.006	0.095	0.08	0.262	0.66	7.9
30-Jan-11	5	0.221	0.007	0.093	0.11	0.209	0.64	8
30-Jan-11	10	0.224	0.006	0.097	0.06	0.223	0.61	7.7
30-Jan-11	15	0.237	0.007	0.098	0.13	0.218	0.69	8.1
30-Jan-11	20	0.248	0.007	0.102	0.07	0.243	0.67	7.7
