Date	Depth	NH4	Nitrit	Nitrate	Norg_par	Norg_dis	Ntot	Oxygen
01-Jan-12	1	0.264	0.007	0.073	0	0.226	0.57	7.7
01-Jan-12	3	0.261	0.006	0.073	0.08	0.12	0.54	7.7
01-Jan-12	5	0.264	0.006	0.075	0.05	0.165	0.56	7.4
01-Jan-12	10	0.264	0.006	0.073	0	0.217	0.56	6.5
01-Jan-12	15	0.265	0.006	0.074	0.03	0.215	0.59	7
01-Jan-12	20	0.266	0.006	0.073	0.18	0.045	0.57	6.6
01-Jan-12	25	0.26	0.006	0.074	0.12	0.13	0.59	7.7
01-Jan-12	30	0.267	0.006	0.075	0.05	0.112	0.51	6.5
01-Jan-12	35	0.266	0.006	0.075	0.03	0.163	0.54	7.1
08-Jan-12	1	0.263	0.011	0.082	0	0.184	0.54	-
08-Jan-12	3	0.263	0.011	0.077	0.03	0.159	0.54	8.2
08-Jan-12	5	0.271	0.011	0.081	0	0.107	0.47	8
08-Jan-12	10	0.263	0.011	0.079	0	0.177	0.53	7.7
08-Jan-12	15	0.271	0.011	0.082	0	0.236	0.6	7.9
08-Jan-12	20	0.266	0.011	0.077	0	0.086	0.44	7.9
08-Jan-12	25	0.276	0.011	0.079	0.01	0.114	0.49	7.6
08-Jan-12	30	0.268	0.011	0.077	0.02	0.114	0.49	7.9
08-Jan-12	35	0.27	0.011	0.08	0.01	0.119	0.49	8
15-Jan-12	1	0.249	0.021	0.094	0.05	0.196	0.61	9.2
15-Jan-12	3	0.25	0.021	0.098	0.03	0.201	0.6	8.8
15-Jan-12	5	0.26	0.021	0.103	0	0.206	0.59	9
15-Jan-12	10	0.248	0.023	0.092	0.11	0.167	0.64	8.8
15-Jan-12	15	0.252	0.022	0.096	0.06	0.17	0.6	8.9
15-Jan-12	20	0.249	0.021	0.105	0.18	0.175	0.73	8.9
15-Jan-12	25	0.247	0.02	0.099	0.06	0.134	0.56	8.8
15-Jan-12	30	0.234	0.017	0.101	0.03	0.128	0.51	8.9
15-Jan-12	35	0.23	0.017	0.101	0.04	0.112	0.5	9.9
22-Jan-12	1	0.214	0.058	0.108	0.08	0.18	0.64	8
22-Jan-12	3	0.221	0.057	0.108	0.02	0.244	0.65	8
