Date	Depth	NH4	Nitrit	Nitrate	Norg_par	Norg_dis	Ntot	Oxygen
06/06/10	1	0.006	0.012	0.038	0.18	0.174	0.41	9.3
06/06/10	3	0.008	0.013	0.039	0.14	0.18	0.38	9.5
06/06/10	5	0.008	0.014	0.043	0.22	0.155	0.44	9.2
06/06/10	10	0.009	0.017	0.053	0.2	0.141	0.42	8.4
06/06/10	15	0.026	0.022	0.068	0.17	0.164	0.45	7.7
06/06/10	16	0.049	0.04	0.075	0.17	0.156	0.49	3.7
06/06/10	17	0.07	0.042	0.059	0.09	0.169	0.43	2.4
06/06/10	20	0.098	0.023	0.036	0.17	0.123	0.45	2.4
06/06/10	25	0.207	0.002	0.006	0.01	0.175	0.4	0.1
06/06/10	30	0.393	0.002	-	0	0.185	0.58	0.1
06/06/10	35	0.494	0.002	-	0.03	0.184	0.71	0.1
06/13/10	1	0.023	0.013	0.022	0.06	0.222	0.34	9.4
06/13/10	3	0.017	0.014	0.019	0.04	0.21	0.3	9.4
06/13/10	5	0.009	0.013	0.016	0.1	0.172	0.31	9.5
06/13/10	10	0.014	0.014	0.022	0.07	0.21	0.33	9.2
06/13/10	13	0.021	0.016	0.033	0.01	0.22	0.3	8.5
06/13/10	14	0.016	0.017	0.038	0.07	0.169	0.31	8.3
06/13/10	15	0.067	0.025	0.043	0.07	0.195	0.4	5.1
06/13/10	16	0.098	0.016	0.03	0.06	0.166	0.37	3.5
06/13/10	20	0.197	0.002	0.01	0.01	0.161	0.38	0.5
06/13/10	25	0.229	0.002	0.006	0	0.123	0.36	-
06/13/10	30	0.407	0.002	-	0	0.121	0.53	-
06/13/10	35	0.608	0.002	-	0.03	0.17	0.81	-
06/20/10	1	0.008	0.005	0.01	0.11	0.147	0.28	9.9
06/20/10	3	0.01	0.005	0.008	0.14	0.157	0.32	8.7
06/20/10	5	0.008	0.005	0.008	0.04	0.199	0.26	8.9
06/20/10	10	0.008	0.005	0.012	0.06	0.175	0.26	8.6
06/20/10	13	0.016	0.005	0.012	0.15	0.137	0.32	8
06/20/10	14	0.021	0.008	0.013	0.11	0.188	0.34	6.5
06/20/10	15	0.052	0.008	0.019	0.06	0.181	0.32	5.3
06/20/10	20	0.234	0.002	0.01	0.03	0.124	0.4	0.3
06/20/10	25	0.392	0.002	-	0.07	0.166	0.63	0.1
06/20/10	30	0.563	0.002	-	0.155	0	0.72	0.1
06/20/10	35	0.588	0.002	-	0.1	0.09	0.78	0.1
06/27/10	1	0.035	0.003	0.011	0.09	0.171	0.31	6.8
06/27/10	3	0.036	0.003	0.011	0.1	0.18	0.33	7.1
06/27/10	5	0.038	0.003	0.012	0.07	0.187	0.31	7.5
06/27/10	10	0.031	0.003	0.012	0.09	0.194	0.33	6.7
06/27/10	15	0.041	0.003	0.012	0.09	0.194	0.34	6.5
06/27/10	16	0.153	0.003	0.013	0.08	0.191	0.44	1.2
06/27/10	17	0.138	0.002	0.009	0.06	0.191	0.4	2.8
06/27/10	18	0.226	0.002	0.009	0.09	0.203	0.53	0.1
06/27/10	20	0.254	0.002	0.009	0.03	0.195	0.49	0.1
06/27/10	25	0.321	0.002	-	0.01	0.177	0.51	0.1
06/27/10	30	0.522	0.002	-	0.06	0.246	0.83	0.1
06/27/10	35	0.565	0.002	-	0.01	0.253	0.83	0.1
07/04/10	1	0.027	0.003	0.014	0.03	0.196	0.27	8.1
07/04/10	3	0.021	0.003	0.013	0.06	0.183	0.28	7.4
07/04/10	5	0.026	0.002	0.014	0.07	0.188	0.3	7.7
07/04/10	10	0.041	0.002	0.022	0.04	0.175	0.28	6.8
07/04/10	15	0.078	0.003	0.022	0.08	0.177	0.36	4.9
07/04/10	16	0.11	0.003	0.018	0.06	0.189	0.38	4
07/04/10	17	0.17	0.002	0.005	0.08	0.193	0.45	0.5
07/04/10	18	0.16	0.002	0.01	0.06	0.228	0.46	1
07/04/10	20	0.26	0.002	-	0	0.228	0.49	0.1
07/04/10	25	0.43	0.002	-	0.02	0.178	0.63	0.1
07/04/10	30	0.576	0.002	-	0.03	0.232	0.84	0.1
07/04/10	35	0.69	0.002	-	0.03	0.258	0.98	0.1
07/11/10	1	0.02	0.002	0.009	0.03	0.169	0.23	9
07/11/10	3	0.009	0.002	-	0.07	0.179	0.26	8.9
07/11/10	5	0.008	0.002	-	0.06	0.19	0.26	8.7
07/11/10	10	0.005	0.002	-	0.16	0.163	0.33	8.6
07/11/10	15	0.027	0.002	0.006	0.05	0.165	0.25	4.8
07/11/10	16	0.092	0.002	0.005	0.09	0.171	0.36	1.4
07/11/10	17	0.217	0.002	0.007	0.02	0.204	0.45	0.1
07/11/10	18	0.252	0.002	0.007	0.06	0.229	0.55	0.1
07/11/10	20	0.345	0.002	-	0.04	0.173	0.56	0.1
07/11/10	25	0.35	0.002	-	0.07	0.148	0.57	0.1
07/11/10	30	0.722	0.002	-	0.05	0.136	0.91	0.1
07/11/10	35	0.846	0.002	-	0.03	0.152	1.03	0.1
07/18/10	1	0.011	0.002	0.026	0.02	0.141	0.2	7.3
07/18/10	3	0.011	0.002	0.011	0.02	0.166	0.21	7.3
07/18/10	5	0.008	0.002	0.01	0.04	0.16	0.22	7
07/18/10	10	0.007	0.002	0.011	0.04	0.19	0.25	7.3
07/18/10	15	0.023	0.002	0.012	0.06	0.123	0.22	6
07/18/10	18	0.15	0.002	0.021	0.02	0.157	0.35	1.8
07/18/10	19	0.423	0.002	-	0.05	0.175	0.65	0.1
07/18/10	20	0.277	0.002	-	0	0.191	0.47	0.1
07/18/10	25	0.536	0.002	-	0.02	0.212	0.77	0.1
07/18/10	30	0.67	0.002	-	0.04	0.168	0.88	0.1
07/18/10	35	0.826	0.002	-	0.04	0.202	1.07	0.1
07/25/10	1	0.012	0.002	-	0.04	0.186	0.24	7.2
07/25/10	3	0.021	0.002	0.006	0.15	0.161	0.34	6.9
07/25/10	5	0.017	0.002	0.006	0.07	0.135	0.23	6.7
07/25/10	10	0.014	0.002	0.009	0	0.195	0.22	6.6
07/25/10	15	0.02	0.002	0.008	0.04	0.15	0.22	6.4
07/25/10	16	0.06	0.002	0.009	0.05	0.129	0.25	5
07/25/10	17	0.073	0.002	0.009	0.07	0.096	0.25	4
07/25/10	18	0.234	0.002	0.007	0.09	0.147	0.48	0.1
07/25/10	20	0.283	0.002	0.007	0.07	0.128	0.49	0.1
07/25/10	25	0.569	0.002	-	0	0.149	0.72	0.1
