WD	Surface_area_(sqm)
-209	168689618
-210	167908871
-211	166515284
-212	164163548
-213	162099683
-214	159920041
-215	159461052
-216	158708414
-217	156857544
-218	154790719
-219	153013263
-220	151570783
-221	148779423
-222	146147506
-223	142731650
-224	139132508
-225	135269541
-226	131029606
-227	126426717
-228	121724297
-229	116468938
-230	111324959
-231	105718134
-232	99983204
-233	93635961
-234	87731523
-235	82380940
-236	76962704
-237	71781809
-238	66301785
-239	61526702
-240	57069005
-241	52842643
-242	48747973
-243	44633045
-244	40551773
-245	36228289
-246	32263376
-247	28301256
-248	24150744
-249	20161179
-250	16164496
-251	11944677
-252	7210622
-253	604463
