date	level	depth
2010-06-01	-213	40
2010-06-02	-213	40
2010-06-03	-213	40
2010-06-04	-213	40
2010-06-05	-213	40
2010-06-06	-213	40
2010-06-07	-213	40
2010-06-08	-213	40
2010-06-09	-213	40
2010-06-10	-213	40
2010-06-11	-213	40
2010-06-12	-213	40
2010-06-13	-213	40
2010-06-14	-213	40
2010-06-15	-213	40
2010-06-16	-213	40
2010-06-17	-213	40
2010-06-18	-213	40
2010-06-19	-213	40
2010-06-20	-213	40
2010-06-21	-213	40
2010-06-22	-213	40
2010-06-23	-213	40
2010-06-24	-213	40
2010-06-25	-213	40
2010-06-26	-213	40
2010-06-27	-213	40
2010-06-28	-213	40
2010-06-29	-213	40
2010-06-30	-213	40
2010-07-01	-213	40
2010-07-02	-213	40
2010-07-03	-213	40
2010-07-04	-213	40
2010-07-05	-213	40
2010-07-06	-213	40
2010-07-07	-213	40
2010-07-08	-213	40
2010-07-09	-213	40
2010-07-10	-213	40
2010-07-11	-213	40
2010-07-12	-213	40
2010-07-13	-213	40
2010-07-14	-213	40
2010-07-15	-213	40
2010-07-16	-213	40
2010-07-17	-213	40
2010-07-18	-213	40
2010-07-19	-213	40
2010-07-20	-213	40
2010-07-21	-213	40
2010-07-22	-213	40
2010-07-23	-213	40
2010-07-24	-213	40
2010-07-25	-213	40
2010-07-26	-213	40
2010-07-27	-213	40
2010-07-28	-213	40
2010-07-29	-213	40
2010-07-30	-213	40
2010-07-31	-213	40
2010-08-01	-213	40
2010-08-02	-213	40
2010-08-03	-213	40
2010-08-04	-213	40
2010-08-05	-213	40
2010-08-06	-213	40
2010-08-07	-213	40
2010-08-08	-213	40
2010-08-09	-213	40
2010-08-10	-213	40
2010-08-11	-213	40
2010-08-12	-213	40
2010-08-13	-213	40
2010-08-14	-213	40
2010-08-15	-213	40
2010-08-16	-213	40
2010-08-17	-213	40
2010-08-18	-213	40
2010-08-19	-213	40
2010-08-20	-213	40
2010-08-21	-213	40
2010-08-22	-213	40
2010-08-23	-213	40
2010-08-24	-213	40
2010-08-25	-213	40
2010-08-26	-213	40
2010-08-27	-213	40
2010-08-28	-213	40
2010-08-29	-213	40
2010-08-30	-213	40
2010-08-31	-213	40
2010-09-01	-213	40
2010-09-02	-213.5	40
2010-09-03	-213.5	40
2010-09-04	-213.5	40
2010-09-05	-213.5	39
2010-09-06	-214	39
2010-09-07	-214	39
2010-09-08	-214	39
2010-09-09	-214	39
2010-09-10	-214	39
2010-09-11	-214	39
2010-09-12	-214	39
2010-09-13	-214	39
2010-09-14	-214	39
2010-09-15	-214	39
2010-09-16	-214	39
2010-09-17	-214	39
2010-09-18	-214	39
2010-09-19	-214	39
2010-09-20	-214	39
2010-09-21	-214	39
2010-09-22	-214	39
2010-09-23	-214	39
2010-09-24	-214	39
2010-09-25	-214	39
2010-09-26	-214	39
2010-09-27	-214	39
2010-09-28	-214	39
2010-09-29	-214	39
2010-09-30	-214	39
2010-10-01	-214	39
2010-10-02	-214	39
2010-10-03	-214	39
2010-10-04	-214	39
2010-10-05	-214	39
2010-10-06	-214	39
2010-10-07	-214	39
2010-10-08	-214	39
2010-10-09	-214	39
2010-10-10	-214	39
2010-10-11	-214	39
2010-10-12	-214	39
2010-10-13	-214	39
2010-10-14	-214	39
2010-10-15	-214	39
2010-10-16	-214	39
2010-10-17	-214	39
2010-10-18	-214	39
2010-10-19	-214	39
2010-10-20	-214	39
2010-10-21	-214	39
2010-10-22	-214	39
2010-10-23	-214	39
2010-10-24	-214	39
2010-10-25	-214	39
2010-10-26	-214	39
2010-10-27	-214	39
2010-10-28	-214	39
2010-10-29	-214	39
2010-10-30	-214	39
2010-10-31	-214	39
2010-11-01	-214	39
2010-11-02	-214	39
2010-11-03	-214	39
2010-11-04	-214	39
2010-11-05	-214	39
2010-11-06	-214	39
2010-11-07	-214	39
2010-11-08	-214	39
2010-11-09	-214	39
2010-11-10	-214	39
2010-11-11	-214	39
2010-11-12	-214	39
2010-11-13	-214	39
2010-11-14	-214	39
2010-11-15	-214	39
2010-11-16	-214	39
2010-11-17	-214	39
2010-11-18	-214	39
2010-11-19	-214	39
2010-11-20	-214	39
2010-11-21	-214	39
2010-11-22	-214	39
2010-11-23	-214	39
2010-11-24	-214	39
2010-11-25	-214	39
2010-11-26	-214	39
2010-11-27	-214	39
2010-11-28	-214	39
2010-11-29	-214	39
2010-11-30	-214	39
2010-12-01	-214	39
2010-12-02	-214	39
2010-12-03	-214	39
2010-12-04	-214	39
2010-12-05	-214	39
2010-12-06	-214	39
2010-12-07	-214	39
2010-12-08	-214	39
2010-12-09	-214	39
2010-12-10	-214	39
2010-12-11	-214	39
2010-12-12	-214	39
2010-12-13	-214	39
2010-12-14	-214	39
2010-12-15	-214	39
2010-12-16	-214	39
2010-12-17	-214	39
2010-12-18	-214	39
2010-12-19	-214	39
2010-12-20	-214	39
2010-12-21	-214	39
2010-12-22	-214	39
2010-12-23	-214	39
2010-12-24	-214	39
2010-12-25	-214	39
2010-12-26	-214	39
2010-12-27	-214	39
2010-12-28	-214	39
2010-12-29	-214	39
