Date	Time	Depth	Temp
2010-06-06	09:58	0	26.8
2010-06-06	09:58	1	26.8
2010-06-06	10:00	2	26.7
2010-06-06	10:00	3	26.5
2010-06-06	10:00	4	26.4
2010-06-06	10:00	5	26.3
2010-06-06	10:00	6	26.0
2010-06-06	10:00	7	25.7
2010-06-06	10:00	8	25.6
2010-06-06	10:00	9	25.6
2010-06-06	10:00	10	25.6
2010-06-06	10:00	11	25.5
2010-06-06	10:01	12	25.5
2010-06-06	10:01	13	25.2
2010-06-06	10:01	14	24.6
2010-06-06	10:01	15	23.4
2010-06-06	10:01	16	22.3
2010-06-06	10:01	17	21.4
2010-06-06	10:01	18	20.1
2010-06-06	10:01	19	19.8
2010-06-06	10:01	20	19.4
2010-06-06	10:01	21	19.0
2010-06-06	10:01	22	18.7
2010-06-06	10:01	23	18.4
2010-06-06	10:02	24	17.7
2010-06-06	10:02	25	17.3
2010-06-06	10:02	26	17.0
2010-06-06	10:02	27	16.8
2010-06-06	10:02	28	16.7
2010-06-06	10:02	29	16.7
2010-06-06	10:02	30	16.6
2010-06-06	10:02	31	16.6
2010-06-06	10:02	32	16.6
2010-06-06	10:02	33	16.5
2010-06-06	10:02	34	16.4
2010-06-06	10:03	35	16.4
2010-06-13	08:39	0	26.7
2010-06-13	08:42	1	26.7
2010-06-13	08:42	2	26.6
2010-06-13	08:42	3	26.6
2010-06-13	08:42	4	26.6
2010-06-13	08:42	5	26.5
2010-06-13	08:42	6	26.5
2010-06-13	08:42	7	26.5
2010-06-13	08:42	8	26.4
2010-06-13	08:42	9	26.2
2010-06-13	08:42	10	26.1
2010-06-13	08:43	11	25.8
2010-06-13	08:43	12	25.5
2010-06-13	08:43	13	24.9
2010-06-13	08:43	14	23.8
2010-06-13	08:43	15	22.8
2010-06-13	08:43	16	21.5
2010-06-13	08:43	17	20.7
2010-06-13	08:43	18	19.9
2010-06-13	08:43	19	19.3
2010-06-13	08:43	20	19.1
2010-06-13	08:43	21	18.6
2010-06-13	08:43	22	18.2
2010-06-13	08:43	23	17.7
2010-06-13	08:43	24	17.3
2010-06-13	08:43	25	17.1
2010-06-13	08:43	26	16.9
2010-06-13	08:43	27	16.8
2010-06-13	08:44	28	16.6
2010-06-13	08:44	29	16.6
2010-06-13	08:44	30	16.5
2010-06-13	08:44	31	16.5
2010-06-13	08:44	32	16.5
2010-06-13	08:44	33	16.4
2010-06-13	08:44	34	16.4
2010-06-13	08:44	35	16.4
2010-06-13	08:44	36	16.4
2010-06-13	08:44	37	16.4
2010-06-20	09:04	0	27.1
2010-06-20	09:04	1	27.1
2010-06-20	09:05	2	27.0
2010-06-20	09:05	3	27.0
2010-06-20	09:05	4	27.0
2010-06-20	09:05	5	26.9
2010-06-20	09:05	6	26.9
2010-06-20	09:06	7	26.9
2010-06-20	09:06	8	26.9
2010-06-20	09:06	9	26.9
2010-06-20	09:06	10	26.9
2010-06-20	09:06	11	26.9
2010-06-20	09:06	12	26.8
2010-06-20	09:06	13	25.8
2010-06-20	09:06	14	25.0
2010-06-20	09:06	15	24.0
2010-06-20	09:06	16	23.2
2010-06-20	09:07	17	22.3
2010-06-20	09:07	18	21.2
2010-06-20	09:07	19	20.8
2010-06-20	09:07	20	20.3
2010-06-20	09:07	21	19.4
2010-06-20	09:07	22	18.6
2010-06-20	09:07	23	18.0
2010-06-20	09:07	24	17.6
2010-06-20	09:07	25	17.5
2010-06-20	09:07	26	17.2
2010-06-20	09:07	27	17.0
2010-06-20	09:07	28	16.8
2010-06-20	09:07	29	16.7
2010-06-20	09:07	30	16.7
2010-06-20	09:07	31	16.7
2010-06-20	09:07	32	16.7
2010-06-20	09:08	33	16.7
2010-06-20	09:08	34	16.7
2010-06-20	09:08	35	16.6
2010-06-20	09:08	36	16.6
2010-06-27	08:52	0	27.4
2010-06-27	08:52	1	27.3
2010-06-27	08:59	2	27.3
2010-06-27	08:59	3	27.3
2010-06-27	08:59	4	27.2
2010-06-27	08:59	5	27.2
2010-06-27	08:59	6	27.2
2010-06-27	08:59	7	27.2
2010-06-27	08:59	8	27.2
2010-06-27	08:59	9	27.2
2010-06-27	09:00	10	27.2
2010-06-27	09:00	11	27.2
2010-06-27	09:00	12	27.2
2010-06-27	09:00	13	27.2
2010-06-27	09:00	14	27.2
2010-06-27	09:00	15	26.4
2010-06-27	09:00	16	24.6
2010-06-27	09:00	17	23.6
2010-06-27	09:00	18	22.3
2010-06-27	09:00	19	20.9
2010-06-27	09:01	20	20.0
2010-06-27	09:01	21	19.4
2010-06-27	09:01	22	19.0
2010-06-27	09:01	23	18.5
2010-06-27	09:01	24	17.9
2010-06-27	09:01	25	17.5
2010-06-27	09:01	26	17.3
2010-06-27	09:01	27	17.2
2010-06-27	09:01	28	17.1
2010-06-27	09:01	29	17.1
2010-06-27	09:01	30	17.0
2010-06-27	09:01	31	17.0
2010-06-27	09:01	32	17.0
2010-06-27	09:01	33	16.9
2010-06-27	09:01	34	16.8
2010-06-27	09:01	35	16.7
2010-06-27	09:02	36	16.7
2010-07-04	10:01	0	28.6
2010-07-04	10:02	1	28.0
2010-07-04	10:02	2	27.8
2010-07-04	10:02	3	27.8
2010-07-04	10:02	4	27.8
2010-07-04	10:02	5	27.7
2010-07-04	10:02	6	27.7
2010-07-04	10:02	7	27.6
2010-07-04	10:02	8	27.6
2010-07-04	10:02	9	27.5
2010-07-04	10:02	10	27.4
2010-07-04	10:02	11	27.4
2010-07-04	10:02	12	27.4
2010-07-04	10:02	13	27.2
2010-07-04	10:03	14	26.5
2010-07-04	10:03	15	25.7
2010-07-04	10:03	16	23.3
2010-07-04	10:03	17	21.5
2010-07-04	10:03	18	21.0
2010-07-04	10:03	19	20.1
2010-07-04	10:03	20	19.2
2010-07-04	10:03	21	18.8
2010-07-04	10:03	22	18.3
2010-07-04	10:03	23	18.0
2010-07-04	10:03	24	17.7
2010-07-04	10:03	25	17.4
2010-07-04	10:03	26	17.2
2010-07-04	10:03	27	17.0
2010-07-04	10:03	28	16.8
2010-07-04	10:03	29	16.7
2010-07-04	10:03	30	16.7
2010-07-04	10:04	31	16.7
2010-07-04	10:04	32	16.6
2010-07-04	10:04	33	16.6
2010-07-04	10:04	34	16.6
2010-07-04	10:04	35	16.6
2010-07-04	10:04	36	16.6
2010-07-04	10:04	37	16.6
2010-07-25	08:46	0	29.3
2010-07-25	08:46	1	29.2
2010-07-25	08:47	2	29.1
2010-07-25	08:47	3	29.0
2010-07-25	08:47	4	29.0
2010-07-25	08:47	5	28.9
2010-07-25	08:47	6	28.9
2010-07-25	08:47	7	28.9
2010-07-25	08:47	8	28.9
2010-07-25	08:47	9	28.9
2010-07-25	08:48	10	28.9
2010-07-25	08:48	11	28.9
2010-07-25	08:48	12	28.9
2010-07-25	08:48	13	28.9
2010-07-25	08:48	14	28.9
2010-07-25	08:48	15	28.8
2010-07-25	08:49	19	19.7
2010-07-25	08:49	20	19.3
2010-07-25	08:49	21	18.6
2010-07-25	08:49	22	18.3
2010-07-25	08:49	23	18.1
2010-07-25	08:49	24	17.7
2010-07-25	08:49	25	17.5
2010-07-25	08:49	26	17.3
2010-07-25	08:49	28	17.1
2010-07-25	08:49	29	16.9
2010-07-25	08:49	30	16.8
2010-07-25	08:49	31	16.7
2010-07-25	08:49	32	16.6
2010-07-25	08:50	33	16.6
2010-07-25	08:50	34	16.6
2010-07-25	08:50	35	16.6
2010-07-25	08:50	36	16.6
2010-07-25	08:50	37	16.6
2010-07-25	08:51	16	26.9
2010-07-25	08:51	17	24.0
2010-07-25	08:51	18	21.0
2010-07-25	08:51	27	16.7
2010-08-01	08:27	0	30.0
2010-08-01	08:27	1	29.8
2010-08-01	08:28	2	29.5
2010-08-01	08:28	3	29.4
2010-08-01	08:28	4	29.3
2010-08-01	08:28	5	29.2
2010-08-01	08:28	6	29.1
2010-08-01	08:28	7	29.1
2010-08-01	08:28	8	29.0
2010-08-01	08:28	9	28.9
2010-08-01	08:29	10	28.9
2010-08-01	08:29	11	28.9
2010-08-01	08:29	12	28.9
2010-08-01	08:29	13	28.7
2010-08-01	08:29	14	28.6
2010-08-01	08:29	15	28.6
2010-08-01	08:29	16	28.2
2010-08-01	08:30	17	26.2
2010-08-01	08:30	18	22.5
2010-08-01	08:30	19	22.2
2010-08-01	08:30	20	20.3
2010-08-01	08:30	21	19.0
2010-08-01	08:30	22	18.3
2010-08-01	08:30	23	18.4
2010-08-01	08:30	24	17.4
2010-08-01	08:31	28	16.8
2010-08-01	08:31	29	16.8
2010-08-01	08:31	31	16.8
2010-08-01	08:31	32	16.7
2010-08-01	08:31	33	16.7
2010-08-01	08:31	35	16.7
2010-08-01	08:31	36	16.7
2010-08-01	08:31	37	16.7
2010-08-01	08:32	25	17.0
2010-08-01	08:32	26	16.9
2010-08-08	09:14	0	30.8
2010-08-08	09:14	1	30.8
2010-08-08	09:14	2	30.8
2010-08-08	09:15	3	30.8
2010-08-08	09:15	4	30.8
2010-08-08	09:16	5	30.8
2010-08-08	09:16	6	30.8
2010-08-08	09:16	7	30.7
2010-08-08	09:16	8	30.7
2010-08-08	09:17	9	30.7
2010-08-08	09:17	10	30.6
2010-08-08	09:17	11	30.2
2010-08-08	09:18	12	29.8
2010-08-08	09:18	13	29.0
2010-08-08	09:18	14	28.7
2010-08-08	09:19	15	28.5
2010-08-08	09:19	16	28.2
2010-08-08	09:19	17	26.9
2010-08-08	09:19	18	24.6
2010-08-08	09:20	19	22.3
2010-08-08	09:20	20	20.2
2010-08-08	09:20	21	19.0
2010-08-08	09:21	22	18.5
2010-08-08	09:21	23	18.1
2010-08-08	09:21	24	17.7
2010-08-08	09:22	25	17.5
2010-08-08	09:22	26	17.4
2010-08-08	09:22	27	17.2
2010-08-08	09:22	28	17.1
2010-08-08	09:23	29	17.0
2010-08-08	09:23	30	16.9
2010-08-08	09:23	31	16.8
2010-08-08	09:23	32	16.8
2010-08-08	09:24	33	16.7
2010-08-08	09:24	34	16.7
2010-08-08	09:24	35	16.7
2010-08-08	09:24	36	16.6
2010-08-15	09:31	0	30.9
2010-08-15	09:31	1	30.9
2010-08-15	09:32	2	30.8
2010-08-15	09:32	3	30.7
2010-08-15	09:33	4	30.6
2010-08-15	09:33	5	30.5
2010-08-15	09:34	6	30.5
2010-08-15	09:34	7	30.5
2010-08-15	09:35	8	30.5
2010-08-15	09:36	9	30.5
2010-08-15	09:36	10	30.5
2010-08-15	09:37	11	30.5
2010-08-15	09:38	12	30.5
2010-08-15	09:38	13	30.3
2010-08-15	09:39	14	29.6
2010-08-15	09:40	15	28.5
2010-08-15	09:40	16	27.4
2010-08-15	09:41	17	23.9
2010-08-15	09:41	18	22.1
2010-08-15	09:42	19	20.5
2010-08-15	09:42	20	19.9
2010-08-15	09:43	21	19.3
2010-08-15	09:43	22	18.8
2010-08-15	09:44	23	18.0
2010-08-15	09:44	24	17.7
2010-08-15	09:45	25	17.4
2010-08-15	09:46	26	17.2
2010-08-15	09:46	27	17.1
2010-08-15	09:47	28	17.0
2010-08-15	09:47	29	16.9
2010-08-15	09:48	30	16.9
2010-08-15	09:49	31	16.8
2010-08-15	09:49	32	16.7
2010-08-15	09:50	33	16.7
2010-08-15	09:51	34	16.7
2010-08-15	09:51	35	16.6
2010-08-15	09:52	36	16.6
2010-08-15	09:53	37	16.6
2010-08-22	09:11	0	30.8
2010-08-22	09:11	1	31.2
2010-08-22	09:11	2	31.2
2010-08-22	09:11	3	31.1
2010-08-22	09:12	4	31.1
2010-08-22	09:12	5	31.1
2010-08-22	09:12	6	31.1
2010-08-22	09:12	7	31.1
2010-08-22	09:12	8	31.1
2010-08-22	09:12	9	31.1
2010-08-22	09:12	10	31.1
2010-08-22	09:13	12	31.1
2010-08-22	09:13	13	30.9
2010-08-22	09:13	14	29.4
2010-08-22	09:13	15	29.1
2010-08-22	09:13	16	28.0
2010-08-22	09:14	17	26.4
2010-08-22	09:14	18	23.8
2010-08-22	09:14	19	21.6
2010-08-22	09:14	20	19.4
2010-08-22	09:14	21	18.5
2010-08-22	09:14	22	18.0
2010-08-22	09:15	23	17.7
2010-08-22	09:15	24	17.5
2010-08-22	09:15	25	17.2
2010-08-22	09:15	26	17.0
2010-08-22	09:15	27	16.9
2010-08-22	09:15	29	16.8
2010-08-22	09:16	30	16.7
2010-08-22	09:16	32	16.7
2010-08-22	09:16	35	16.6
2010-08-22	09:16	36	16.6
2010-08-22	09:17	37	16.7
2010-08-29	09:32	0	31.2
2010-08-29	09:32	1	31.2
2010-08-29	09:33	2	31.1
2010-08-29	09:33	3	31.1
2010-08-29	09:34	4	31.1
2010-08-29	09:34	5	31.0
2010-08-29	09:34	6	31.0
2010-08-29	09:35	7	30.9
2010-08-29	09:35	8	30.9
2010-08-29	09:36	9	30.9
2010-08-29	09:36	10	30.9
2010-08-29	09:36	11	30.8
2010-08-29	09:37	12	30.8
2010-08-29	09:37	13	30.8
2010-08-29	09:37	14	30.5
2010-08-29	09:38	15	29.2
2010-08-29	09:38	16	27.6
2010-08-29	09:39	17	25.6
2010-08-29	09:39	18	23.6
2010-08-29	09:40	19	22.1
2010-08-29	09:40	20	20.7
2010-08-29	09:41	21	19.7
2010-08-29	09:41	22	19.0
2010-08-29	09:42	23	18.2
2010-08-29	09:42	24	17.6
2010-08-29	09:42	25	17.4
2010-08-29	09:43	26	17.2
2010-08-29	09:43	27	17.1
2010-08-29	09:43	28	17.0
2010-08-29	09:44	29	16.9
2010-08-29	09:44	30	16.8
2010-08-29	09:44	31	16.7
2010-08-29	09:45	32	16.7
2010-08-29	09:45	33	16.6
2010-08-29	09:46	34	16.6
2010-08-29	09:46	35	16.6
2010-08-29	09:46	36	16.6
2010-09-05	07:34	0	30.2
2010-09-05	07:34	1	30.2
2010-09-05	07:35	2	30.2
2010-09-05	07:35	3	30.2
2010-09-05	07:36	4	30.2
2010-09-05	07:36	5	30.2
2010-09-05	07:36	6	30.2
2010-09-05	07:37	7	30.2
2010-09-05	07:37	8	30.2
2010-09-05	07:38	9	30.2
2010-09-05	07:38	10	30.2
2010-09-05	07:38	11	30.2
2010-09-05	07:38	12	30.2
2010-09-05	07:39	13	30.2
2010-09-05	07:39	14	30.2
2010-09-05	07:39	15	29.3
2010-09-05	07:40	16	26.7
2010-09-05	07:40	17	25.3
2010-09-05	07:40	18	23.9
2010-09-05	07:41	19	22.5
2010-09-05	07:41	20	21.1
2010-09-05	07:41	21	19.9
2010-09-05	07:42	22	19.2
2010-09-05	07:42	23	18.3
2010-09-05	07:42	24	17.7
2010-09-05	07:43	25	17.4
2010-09-05	07:43	26	17.2
2010-09-05	07:43	27	17.0
2010-09-05	07:44	28	16.9
2010-09-05	07:44	29	16.8
2010-09-05	07:44	30	16.7
2010-09-05	07:45	31	16.7
2010-09-05	07:45	32	16.6
2010-09-05	07:45	33	16.6
2010-09-05	07:46	34	16.6
2010-09-05	07:46	35	16.6
2010-09-05	07:46	36	16.6
2010-09-13	10:09	0	29.9
2010-09-13	10:10	1	30.0
2010-09-13	10:10	2	29.9
2010-09-13	10:11	3	29.9
2010-09-13	10:11	4	29.8
2010-09-13	10:11	5	29.7
2010-09-13	10:12	6	29.7
2010-09-13	10:12	7	29.7
2010-09-13	10:12	8	29.7
2010-09-13	10:13	9	29.7
2010-09-13	10:14	10	29.7
2010-09-13	10:14	11	29.7
2010-09-13	10:14	12	29.7
2010-09-13	10:15	13	29.7
2010-09-13	10:15	14	29.6
2010-09-13	10:15	15	28.0
2010-09-13	10:16	16	26.3
2010-09-13	10:17	17	25.2
2010-09-13	10:17	18	23.8
2010-09-13	10:18	19	22.6
2010-09-13	10:18	20	21.1
2010-09-13	10:18	21	20.3
2010-09-13	10:19	22	19.1
2010-09-13	10:19	23	18.5
2010-09-13	10:19	24	18.1
2010-09-13	10:20	25	17.7
2010-09-13	10:20	26	17.5
2010-09-13	10:20	27	17.3
2010-09-13	10:20	28	17.0
2010-09-13	10:21	29	16.9
2010-09-13	10:21	30	16.8
2010-09-13	10:22	31	16.7
2010-09-13	10:22	32	16.7
2010-09-13	10:22	33	16.7
2010-09-13	10:23	34	16.6
2010-09-13	10:23	35	16.6
2010-09-13	10:23	36	16.6
2010-09-19	10:00	0	29.9
2010-09-19	10:00	1	29.5
2010-09-19	10:00	2	29.2
2010-09-19	10:01	3	29.1
2010-09-19	10:02	4	29.1
2010-09-19	10:03	5	29.0
2010-09-19	10:03	6	29.0
2010-09-19	10:03	7	29.0
2010-09-19	10:04	8	29.0
2010-09-19	10:04	9	29.0
2010-09-19	10:04	10	29.0
2010-09-19	10:05	11	29.0
2010-09-19	10:05	12	29.0
2010-09-19	10:05	13	29.0
2010-09-19	10:06	14	29.0
2010-09-19	10:06	15	29.0
2010-09-19	10:06	16	27.5
2010-09-19	10:07	17	24.5
2010-09-19	10:07	18	23.0
2010-09-19	10:08	19	21.8
2010-09-19	10:08	20	20.7
2010-09-19	10:08	21	19.5
2010-09-19	10:08	22	18.7
2010-09-19	10:09	23	18.0
2010-09-19	10:09	24	17.7
2010-09-19	10:09	25	17.4
2010-09-19	10:10	26	17.3
2010-09-19	10:10	27	17.1
2010-09-19	10:10	28	17.0
2010-09-19	10:10	29	16.9
2010-09-19	10:11	30	16.8
2010-09-19	10:11	31	16.8
2010-09-19	10:11	32	16.8
2010-09-19	10:11	33	16.7
2010-09-19	10:12	34	16.7
2010-09-19	10:12	35	16.6
2010-09-19	10:12	36	16.6
2010-10-04	08:14	0	29.3
2010-10-04	08:14	1	29.3
2010-10-04	08:15	2	29.3
2010-10-04	08:15	3	29.3
2010-10-04	08:15	4	29.3
2010-10-04	08:15	5	29.3
2010-10-04	08:16	6	29.3
2010-10-04	08:16	7	29.3
2010-10-04	08:16	8	29.3
2010-10-04	08:16	9	29.2
2010-10-04	08:16	10	29.2
2010-10-04	08:16	11	29.2
2010-10-04	08:17	12	29.2
2010-10-04	08:17	13	29.2
2010-10-04	08:17	14	29.1
2010-10-04	08:17	15	29.0
